TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;41.733.441/0001-80;CAIXA MASTER CAPITAL PROTEGIDO CESTA AGRO FUNDO DE INVESTIMENTO FINANCEIRO MULT LP - RESP LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;831658.30;;;SDP;DI1 X PRE
CLASSES - FIF;42.120.343/0001-30;CAIXA MASTER CAPITAL PROTEGIDO CICLICO II FIF MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;4979766.08;;;SDP;DI1 X PRE
CLASSES - FIF;42.403.085/0001-07;TREND ÁGUA TECH FUNDO DE INVESTIMENTO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;40093.43;;2025-07-29;Outros;999 X 999
CLASSES - FIF;42.403.085/0001-07;TREND ÁGUA TECH FUNDO DE INVESTIMENTO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;39377.67;;2025-07-29;Outros;999 X 999
CLASSES - FIF;42.776.707/0001-34;TREND SEMICONDUTORES FUNDO DE INVESTIMENTO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;259318.10;;2025-07-29;Outros;999 X 999
CLASSES - FIF;42.776.707/0001-34;TREND SEMICONDUTORES FUNDO DE INVESTIMENTO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;948653.99;;2025-07-29;Outros;999 X 999
CLASSES - FIF;43.210.552/0001-37;MIROVA GLOBAL SUSTAINABLE EQUITY ADVISORY CLASSE DE INVEST SUSTENTÁVEL EM AÇÕES IE - RESP LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;63850.64;;2025-07-29;SCP;DOL X PRE
CLASSES - FIF;43.210.552/0001-37;MIROVA GLOBAL SUSTAINABLE EQUITY ADVISORY CLASSE DE INVEST SUSTENTÁVEL EM AÇÕES IE - RESP LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;800995.28;;2025-07-29;SCP;DOL X PRE
CLASSES - FIF;43.794.389/0001-05;VINLAND MACRO PREVIDENCIÁRIO V MASTER FIF MULTIMERCADO RESPONSABILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;6560.54;;2025-07-29;SDP;DI1 X PRE
CLASSES - FIF;44.814.776/0001-10;STONES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1570499.28;;2025-07-29;SDP;DI1 X PRE
